1739903459.582142 server started (5576): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1739903459.582159 on Linux 5.15.167.4-microsoft-standard-WSL2 #1 SMP Tue Nov 5 00:21:55 UTC 2024
1739903459.582164 using libevent 2.1.12-stable poll
1739903459.582167 using ncurses 6.4 20240113
1739903459.582219 input_key_build: 0x10e003 (PasteStart) is \033[200~
1739903459.582223 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1739903459.582226 input_key_build: 0x10e195 (F1) is \033OP
1739903459.582228 input_key_build: 0x10e196 (F2) is \033OQ
1739903459.582231 input_key_build: 0x10e197 (F3) is \033OR
1739903459.582234 input_key_build: 0x10e198 (F4) is \033OS
1739903459.582236 input_key_build: 0x10e199 (F5) is \033[15~
1739903459.582238 input_key_build: 0x10e19a (F6) is \033[17~
1739903459.582240 input_key_build: 0x10e19b (F7) is \033[18~
1739903459.582242 input_key_build: 0x10e19c (F8) is \033[19~
1739903459.582244 input_key_build: 0x10e19d (F9) is \033[20~
1739903459.582247 input_key_build: 0x10e19e (F10) is \033[21~
1739903459.582249 input_key_build: 0x10e19f (F11) is \033[23~
1739903459.582251 input_key_build: 0x10e1a0 (F12) is \033[24~
1739903459.582253 input_key_build: 0x10e1a1 (IC) is \033[2~
1739903459.582255 input_key_build: 0x10e1a2 (DC) is \033[3~
1739903459.582257 input_key_build: 0x10e1a3 (Home) is \033[1~
1739903459.582259 input_key_build: 0x10e1a4 (End) is \033[4~
1739903459.582261 input_key_build: 0x10e1a5 (NPage) is \033[6~
1739903459.582263 input_key_build: 0x10e1a6 (PPage) is \033[5~
1739903459.582265 input_key_build: 0x10e1a7 (BTab) is \033[Z
1739903459.582267 input_key_build: 0x10e1a8 (Up) is \033[A
1739903459.582269 input_key_build: 0x10e1a9 (Down) is \033[B
1739903459.582272 input_key_build: 0x10e1aa (Left) is \033[D
1739903459.582274 input_key_build: 0x10e1ab (Right) is \033[C
1739903459.582276 input_key_build: 0x10e1ac (KP/) is /
1739903459.582279 input_key_build: 0x10e1ad (KP*) is *
1739903459.582281 input_key_build: 0x10e1ae (KP-) is -
1739903459.582284 input_key_build: 0x10e1af (KP7) is 7
1739903459.582286 input_key_build: 0x10e1b0 (KP8) is 8
1739903459.582289 input_key_build: 0x10e1b1 (KP9) is 9
1739903459.582291 input_key_build: 0x10e1b2 (KP+) is +
1739903459.582293 input_key_build: 0x10e1b3 (KP4) is 4
1739903459.582295 input_key_build: 0x10e1b4 (KP5) is 5
1739903459.582297 input_key_build: 0x10e1b5 (KP6) is 6
1739903459.582299 input_key_build: 0x10e1b6 (KP1) is 1
1739903459.582302 input_key_build: 0x10e1b7 (KP2) is 2
1739903459.582304 input_key_build: 0x10e1b8 (KP3) is 3
1739903459.582306 input_key_build: 0x10e1b9 (KPEnter) is \n
1739903459.582308 input_key_build: 0x10e1ba (KP0) is 0
1739903459.582311 input_key_build: 0x10e1bb (KP.) is .
1739903459.582313 input_key_build: 0x200000000009 (C-Tab) is \t
1739903459.582315 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1739903459.582318 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1739903459.582320 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1739903459.582323 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1739903459.582325 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1739903459.582327 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1739903459.582330 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1739903459.582332 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1739903459.582334 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1739903459.582336 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1739903459.582339 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1739903459.582344 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1739903459.582346 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1739903459.582349 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1739903459.582351 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1739903459.582354 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1739903459.582356 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1739903459.582358 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1739903459.582361 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1739903459.582368 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1739903459.582371 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1739903459.582373 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1739903459.582376 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1739903459.582378 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1739903459.582380 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1739903459.582383 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1739903459.582385 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1739903459.582387 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1739903459.582390 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1739903459.582392 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1739903459.582394 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1739903459.582397 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1739903459.582399 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1739903459.582402 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1739903459.582404 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1739903459.582406 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1739903459.582409 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1739903459.582411 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1739903459.582414 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1739903459.582416 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1739903459.582419 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1739903459.582421 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1739903459.582423 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1739903459.582426 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1739903459.582428 input_key_build: 0x600000000009 (C-S-Tab) is \033[Z
1739903459.582431 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1739903459.582433 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1739903459.582435 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1739903459.582438 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1739903459.582440 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1739903459.582443 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1739903459.582445 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1739903459.582447 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1739903459.582450 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1739903459.582452 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1739903459.582454 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1739903459.582457 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1739903459.582459 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1739903459.582462 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1739903459.582465 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1739903459.582467 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1739903459.582469 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1739903459.582472 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1739903459.582475 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1739903459.582478 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1739903459.582480 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1739903459.582483 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1739903459.582486 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1739903459.582488 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1739903459.582491 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1739903459.582493 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1739903459.582496 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1739903459.582498 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1739903459.582501 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1739903459.582503 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1739903459.582506 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1739903459.582511 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1739903459.582514 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1739903459.582516 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1739903459.582518 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1739903459.582521 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1739903459.582523 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1739903459.582526 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1739903459.582528 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1739903459.582531 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1739903459.582533 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1739903459.582536 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1739903459.582538 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1739903459.582541 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1739903459.582543 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1739903459.582546 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1739903459.582548 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1739903459.582551 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1739903459.582553 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1739903459.582556 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1739903459.582558 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1739903459.582561 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1739903459.582563 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1739903459.582565 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1739903459.582568 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1739903459.582570 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1739903459.582572 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1739903459.582575 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1739903459.582577 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1739903459.582579 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
1739903459.582581 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1739903459.582584 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1739903459.582586 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1739903459.582588 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1739903459.582591 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1739903459.582593 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
1739903459.582596 input_key_build: 0x830000010e197 (C-M-F3[I]) is \033[1;7R
1739903459.582598 input_key_build: 0x830000010e198 (C-M-F4[I]) is \033[1;7S
1739903459.582601 input_key_build: 0x830000010e199 (C-M-F5[I]) is \033[15;7~
1739903459.582603 input_key_build: 0x830000010e19a (C-M-F6[I]) is \033[17;7~
1739903459.582605 input_key_build: 0x830000010e19b (C-M-F7[I]) is \033[18;7~
1739903459.582608 input_key_build: 0x830000010e19c (C-M-F8[I]) is \033[19;7~
1739903459.582610 input_key_build: 0x830000010e19d (C-M-F9[I]) is \033[20;7~
1739903459.582613 input_key_build: 0x830000010e19e (C-M-F10[I]) is \033[21;7~
1739903459.582615 input_key_build: 0x830000010e19f (C-M-F11[I]) is \033[23;7~
1739903459.582619 input_key_build: 0x830000010e1a0 (C-M-F12[I]) is \033[24;7~
1739903459.582622 input_key_build: 0x830000010e1a1 (C-M-IC[I]) is \033[2;7~
1739903459.582624 input_key_build: 0x830000010e1a2 (C-M-DC[I]) is \033[3;7~
1739903459.582626 input_key_build: 0x830000010e1a3 (C-M-Home[I]) is \033[1;7H
1739903459.582629 input_key_build: 0x830000010e1a4 (C-M-End[I]) is \033[1;7F
1739903459.582631 input_key_build: 0x830000010e1a5 (C-M-NPage[I]) is \033[6;7~
1739903459.582634 input_key_build: 0x830000010e1a6 (C-M-PPage[I]) is \033[5;7~
1739903459.582636 input_key_build: 0x830000010e1a8 (C-M-Up[I]) is \033[1;7A
1739903459.582639 input_key_build: 0x830000010e1a9 (C-M-Down[I]) is \033[1;7B
1739903459.582641 input_key_build: 0x830000010e1aa (C-M-Left[I]) is \033[1;7D
1739903459.582644 input_key_build: 0x830000010e1ab (C-M-Right[I]) is \033[1;7C
1739903459.582648 input_key_build: 0x850000010e195 (M-S-F1[I]) is \033[1;4P
1739903459.582651 input_key_build: 0x850000010e196 (M-S-F2[I]) is \033[1;4Q
1739903459.582654 input_key_build: 0x850000010e197 (M-S-F3[I]) is \033[1;4R
1739903459.582656 input_key_build: 0x850000010e198 (M-S-F4[I]) is \033[1;4S
1739903459.582658 input_key_build: 0x850000010e199 (M-S-F5[I]) is \033[15;4~
1739903459.582661 input_key_build: 0x850000010e19a (M-S-F6[I]) is \033[17;4~
1739903459.582663 input_key_build: 0x850000010e19b (M-S-F7[I]) is \033[18;4~
1739903459.582666 input_key_build: 0x850000010e19c (M-S-F8[I]) is \033[19;4~
1739903459.582668 input_key_build: 0x850000010e19d (M-S-F9[I]) is \033[20;4~
1739903459.582671 input_key_build: 0x850000010e19e (M-S-F10[I]) is \033[21;4~
1739903459.582673 input_key_build: 0x850000010e19f (M-S-F11[I]) is \033[23;4~
1739903459.582676 input_key_build: 0x850000010e1a0 (M-S-F12[I]) is \033[24;4~
1739903459.582678 input_key_build: 0x850000010e1a1 (M-S-IC[I]) is \033[2;4~
1739903459.582680 input_key_build: 0x850000010e1a2 (M-S-DC[I]) is \033[3;4~
1739903459.582683 input_key_build: 0x850000010e1a3 (M-S-Home[I]) is \033[1;4H
1739903459.582685 input_key_build: 0x850000010e1a4 (M-S-End[I]) is \033[1;4F
1739903459.582688 input_key_build: 0x850000010e1a5 (M-S-NPage[I]) is \033[6;4~
1739903459.582690 input_key_build: 0x850000010e1a6 (M-S-PPage[I]) is \033[5;4~
1739903459.582693 input_key_build: 0x850000010e1a8 (M-S-Up[I]) is \033[1;4A
1739903459.582695 input_key_build: 0x850000010e1a9 (M-S-Down[I]) is \033[1;4B
1739903459.582698 input_key_build: 0x850000010e1aa (M-S-Left[I]) is \033[1;4D
1739903459.582700 input_key_build: 0x850000010e1ab (M-S-Right[I]) is \033[1;4C
1739903459.582703 input_key_build: 0x870000010e195 (C-M-S-F1[I]) is \033[1;8P
1739903459.582705 input_key_build: 0x870000010e196 (C-M-S-F2[I]) is \033[1;8Q
1739903459.582708 input_key_build: 0x870000010e197 (C-M-S-F3[I]) is \033[1;8R
1739903459.582710 input_key_build: 0x870000010e198 (C-M-S-F4[I]) is \033[1;8S
1739903459.582713 input_key_build: 0x870000010e199 (C-M-S-F5[I]) is \033[15;8~
1739903459.582715 input_key_build: 0x870000010e19a (C-M-S-F6[I]) is \033[17;8~
1739903459.582718 input_key_build: 0x870000010e19b (C-M-S-F7[I]) is \033[18;8~
1739903459.582720 input_key_build: 0x870000010e19c (C-M-S-F8[I]) is \033[19;8~
1739903459.582723 input_key_build: 0x870000010e19d (C-M-S-F9[I]) is \033[20;8~
1739903459.582725 input_key_build: 0x870000010e19e (C-M-S-F10[I]) is \033[21;8~
1739903459.582728 input_key_build: 0x870000010e19f (C-M-S-F11[I]) is \033[23;8~
1739903459.582730 input_key_build: 0x870000010e1a0 (C-M-S-F12[I]) is \033[24;8~
1739903459.582734 input_key_build: 0x870000010e1a1 (C-M-S-IC[I]) is \033[2;8~
1739903459.582736 input_key_build: 0x870000010e1a2 (C-M-S-DC[I]) is \033[3;8~
1739903459.582739 input_key_build: 0x870000010e1a3 (C-M-S-Home[I]) is \033[1;8H
1739903459.582741 input_key_build: 0x870000010e1a4 (C-M-S-End[I]) is \033[1;8F
1739903459.582744 input_key_build: 0x870000010e1a5 (C-M-S-NPage[I]) is \033[6;8~
1739903459.582746 input_key_build: 0x870000010e1a6 (C-M-S-PPage[I]) is \033[5;8~
1739903459.582749 input_key_build: 0x870000010e1a8 (C-M-S-Up[I]) is \033[1;8A
1739903459.582751 input_key_build: 0x870000010e1a9 (C-M-S-Down[I]) is \033[1;8B
1739903459.582754 input_key_build: 0x870000010e1aa (C-M-S-Left[I]) is \033[1;8D
1739903459.582756 input_key_build: 0x870000010e1ab (C-M-S-Right[I]) is \033[1;8C
1739903459.582759 input_key_build: 0x40200000000009 (C-Tab[E]) is \033[9;5u
1739903459.582762 input_key_build: 0x40600000000009 (C-S-Tab[E]) is \033[1;5Z
1739903459.582776 yylex_token: end at WS
1739903459.582778 yylex_token: bind
1739903459.582781 yylex_token: end at WS
1739903459.582783 yylex_token: -N
1739903459.582786 yylex_token: end at WS
1739903459.582788 yylex_token: Send the prefix key
1739903459.582791 yylex_token: end at WS
1739903459.582792 yylex_token: C-b
1739903459.582795 yylex_token: end at WS
1739903459.582797 yylex_token: send-prefix
1739903459.582803 cmd_parse_build_commands 0:0: bind
1739903459.582808 cmd_parse_build_commands 0:1: -N
1739903459.582810 cmd_parse_build_commands 0:2: Send the prefix key
1739903459.582813 cmd_parse_build_commands 0:3: C-b
1739903459.582815 cmd_parse_build_commands 0:4 0:0: send-prefix
1739903459.582824 cmd_parse_build_commands 0:0: send-prefix
1739903459.582832 args_parse: flags end at 1 of 1
1739903459.582836 cmd_parse_build_commands: send-prefix
1739903459.582838 args_parse_flags: next -N
1739903459.582841 args_parse_flag_argument: -N = Send the prefix key
1739903459.582848 args_parse_flags: next C-b
1739903459.582851 args_parse: flags end at 3 of 5
1739903459.582853 args_parse: 3 = C-b (type STRING)
1739903459.582856 args_parse: 4 = send-prefix (type COMMANDS)
1739903459.582865 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1739903459.582869 cmdq_get_command: [bind-key/0x55e375aa2690] group 2
1739903459.582872 cmdq_append <global>: [bind-key/0x55e375aa2690]
1739903459.582876 yylex_token: end at WS
1739903459.582878 yylex_token: bind
1739903459.582880 yylex_token: end at WS
1739903459.582882 yylex_token: -N
1739903459.582885 yylex_token: end at WS
1739903459.582887 yylex_token: Rotate through the panes
1739903459.582890 yylex_token: end at WS
1739903459.582892 yylex_token: C-o
1739903459.582894 yylex_token: end at WS
1739903459.582896 yylex_token: rotate-window
1739903459.582900 cmd_parse_build_commands 0:0: bind
1739903459.582902 cmd_parse_build_commands 0:1: -N
1739903459.582904 cmd_parse_build_commands 0:2: Rotate through the panes
1739903459.582906 cmd_parse_build_commands 0:3: C-o
1739903459.582908 cmd_parse_build_commands 0:4 0:0: rotate-window
1739903459.582912 cmd_parse_build_commands 0:0: rotate-window
1739903459.582915 args_parse: flags end at 1 of 1
1739903459.582918 cmd_parse_build_commands: rotate-window
1739903459.582921 args_parse_flags: next -N
1739903459.582923 args_parse_flag_argument: -N = Rotate through the panes
1739903459.582925 args_parse_flags: next C-o
1739903459.582927 args_parse: flags end at 3 of 5
1739903459.582930 args_parse: 3 = C-o (type STRING)
1739903459.582932 args_parse: 4 = rotate-window (type COMMANDS)
1739903459.582938 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1739903459.582941 cmdq_get_command: [bind-key/0x55e375aa2c30] group 10
1739903459.582943 cmdq_append <global>: [bind-key/0x55e375aa2c30]
1739903459.582947 yylex_token: end at WS
1739903459.582949 yylex_token: bind
1739903459.582951 yylex_token: end at WS
1739903459.582953 yylex_token: -N
1739903459.582956 yylex_token: end at WS
1739903459.582958 yylex_token: Suspend the current client
1739903459.582960 yylex_token: end at WS
1739903459.582962 yylex_token: C-z
1739903459.582964 yylex_token: end at WS
1739903459.582966 yylex_token: suspend-client
1739903459.582969 cmd_parse_build_commands 0:0: bind
1739903459.582971 cmd_parse_build_commands 0:1: -N
1739903459.582974 cmd_parse_build_commands 0:2: Suspend the current client
1739903459.582975 cmd_parse_build_commands 0:3: C-z
1739903459.582978 cmd_parse_build_commands 0:4 0:0: suspend-client
1739903459.582981 cmd_parse_build_commands 0:0: suspend-client
1739903459.582985 args_parse: flags end at 1 of 1
1739903459.582988 cmd_parse_build_commands: suspend-client
1739903459.582990 args_parse_flags: next -N
1739903459.582992 args_parse_flag_argument: -N = Suspend the current client
1739903459.582994 args_parse_flags: next C-z
1739903459.582996 args_parse: flags end at 3 of 5
1739903459.582998 args_parse: 3 = C-z (type STRING)
1739903459.583002 args_parse: 4 = suspend-client (type COMMANDS)
1739903459.583007 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
